ddodyear,diseaseSite,deaths
2014,Liver,5
2014,Lung,3
2014,Pancreas,1
2015,Liver,8
2015,Lung,12
2015,Pancreas,3
2016,Liver,4
2016,Lung,18
2016,Pancreas,4
2017,Liver,5
2017,Lung,8
2017,Pancreas,5
2018,Liver,4
2018,Lung,11
2018,Pancreas,5
2019,Liver,3
2019,Lung,15
2019,Pancreas,4
2020,Liver,6
2020,Lung,11
2020,Pancreas,4
2021,Liver,5
2021,Lung,8
2021,Pancreas,3
2022,Liver,5
2022,Lung,11
2022,Pancreas,4
2023,Liver,4
2023,Lung,10
2023,Pancreas,6
