ddodyear,diseaseSite,deaths
2014,Liver,2
2014,Lung,2
2014,Pancreas,1
2015,Lung,3
2016,Liver,1
2016,Lung,2
2016,Pancreas,2
2017,Liver,1
2017,Lung,7
2017,Pancreas,2
2018,Liver,3
2018,Lung,2
2018,Pancreas,3
2019,Liver,2
2019,Lung,3
2019,Pancreas,2
2020,Liver,4
2020,Lung,4
2020,Pancreas,2
2021,Liver,1
2021,Lung,1
2021,Pancreas,2
2022,Liver,5
2022,Lung,8
2022,Pancreas,4
2023,Liver,1
2023,Lung,6
2023,Pancreas,4
