ddodyear,diseaseSite,deaths
2014,Breast,39
2014,Lung,120
2014,Pancreas,37
2015,Breast,77
2015,Lung,272
2015,Pancreas,72
2016,Breast,42
2016,Lung,182
2016,Pancreas,53
2017,Breast,56
2017,Lung,190
2017,Pancreas,61
2018,Breast,43
2018,Lung,165
2018,Pancreas,55
2019,Breast,56
2019,Lung,162
2019,Pancreas,52
2020,Breast,54
2020,Lung,192
2020,Pancreas,69
2021,Breast,50
2021,Lung,130
2021,Pancreas,61
2022,Breast,71
2022,Lung,170
2022,Pancreas,92
2023,Breast,42
2023,Lung,120
2023,Pancreas,52
